POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1012AJ	1012AK	GAS	100	1064	CENTRUM
1012AJ	1012AJ	ELK	100	3754	CENTRUM
1012AK	1012AK	ELK	100	5680	CENTRUM
1012AL	1012AL	GAS	100	2401	CENTRUM
1012AL	1012AL	ELK	100	6427	CENTRUM
1012AM	1012AR	ELK	100	8906	CENTRUM
1012AM	1012AR	GAS	100	1423	CENTRUM
1012AS	1012AS	ELK	100	6165	CENTRUM
1012AS	1012AS	GAS	100	1783	CENTRUM
1012AT	1012AT	ELK	100	8668	CENTRUM
1012AT	1012AT	GAS	100	2217	CENTRUM
1012AV	1012AV	GAS	100	5973	CENTRUM
1012AV	1012AV	ELK	100	9168	CENTRUM
1012AW	1012AW	GAS	100	2370	CENTRUM
1012AW	1012AW	ELK	100	12543	CENTRUM
1012AX	1012AX	ELK	100	9369	CENTRUM
1012AX	1012AX	GAS	100	1883	CENTRUM
1012AZ	1012AZ	GAS	100	1297	CENTRUM
1012AZ	1012AZ	ELK	100	4579	CENTRUM
1012BA	1012BA	GAS	100	1969	CENTRUM
1012BA	1012BA	ELK	100	6423	CENTRUM
1012BB	1012BB	GAS	100	3951	CENTRUM
1012BB	1012BB	ELK	100	14125	CENTRUM
1012BC	1012BC	ELK	100	8970	CENTRUM
1012BC	1012BC	GAS	100	1833	CENTRUM
1012BD	1012BD	ELK	100	3662	CENTRUM
1012BD	1012BD	GAS	100	810	CENTRUM
1012BE	1012BG	GAS	100	1420	CENTRUM
1012BE	1012BG	ELK	100	3150	CENTRUM
1012BH	1012BH	ELK	100	5159	CENTRUM
1012BH	1012BH	GAS	100	2361	CENTRUM
1012BJ	1012BJ	GAS	100	1555	CENTRUM
1012BJ	1012BJ	ELK	100	4008	CENTRUM
1012BK	1012BK	GAS	100	1274	CENTRUM
1012BK	1012BK	ELK	100	2989	CENTRUM
1012BL	1012BL	ELK	100	2407	CENTRUM
1012BL	1012BL	GAS	100	2028	CENTRUM
1012BM	1012BM	ELK	100	6238	CENTRUM
1012BM	1012BM	GAS	100	1349	CENTRUM
1012BN	1012BN	ELK	100	4790	CENTRUM
1012BN	1012BN	GAS	100	1353	CENTRUM
1012BP	1012BP	GAS	100	2358	CENTRUM
1012BP	1012BP	ELK	100	4521	CENTRUM
1012BR	1012BS	ELK	100	4012	CENTRUM
1012BR	1012BS	GAS	100	1143	CENTRUM
1012BT	1012BT	ELK	100	2178	CENTRUM
1012BT	1012BT	GAS	100	527	CENTRUM
1012BV	1012BV	GAS	100	3262	CENTRUM
1012BV	1012BV	ELK	100	9816	CENTRUM
1012BW	1012BW	GAS	100	1264	CENTRUM
1012BW	1012BW	ELK	100	1811	CENTRUM
1012BX	1012BX	GAS	100	1171	CENTRUM
1012BX	1012BX	ELK	100	1904	CENTRUM
1012BZ	1012BZ	GAS	100	1294	CENTRUM
1012BZ	1012BZ	ELK	100	1847	CENTRUM
1012CA	1012CA	GAS	100	1219	CENTRUM
1012CA	1012CA	ELK	100	2698	CENTRUM
1012CB	1012CB	ELK	100	3360	CENTRUM
1012CB	1012CB	GAS	100	1266	CENTRUM
1012CC	1012CD	GAS	100	1763	CENTRUM
1012CC	1012CD	ELK	100	12496	CENTRUM
1012CE	1012CE	ELK	100	9154	CENTRUM
1012CE	1012CE	GAS	100	1793	CENTRUM
1012CH	1012CJ	GAS	100	1325	CENTRUM
1012CH	1012CJ	ELK	100	2431	CENTRUM
1012CK	1012CK	GAS	100	1160	CENTRUM
1012CK	1012CK	ELK	100	2177	CENTRUM
1012CL	1012CL	GAS	100	1820	CENTRUM
1012CL	1012CL	ELK	100	5140	CENTRUM
1012CM	1012CN	ELK	100	1684	CENTRUM
